z,U_0,U_1,U_2
4.0021792,0.79504834,0.00043371541,-0.32935848
4.0046141,0.7972844,0.00030616131,-0.32880186
4.0073349,0.79978196,0.00016193874,-0.32818032
4.0103751,0.80257186,-2.0971377e-06,-0.3274865
4.0137722,0.80568482,-0.0001892951,-0.32671169
4.0175681,0.80914992,-0.00040175042,-0.32584626
4.0218096,0.812995,-0.00063975718,-0.32487938
4.026549,0.81725059,-0.00090160112,-0.32379822
4.0318447,0.82195607,-0.0011864187,-0.32258829
4.0377622,0.82715907,-0.0014961116,-0.32123598
4.0443742,0.83290914,-0.0018312095,-0.31972485
4.0517625,0.83926167,-0.0021888562,-0.31803048
4.060018,0.84626849,-0.0025566325,-0.31613242
4.0692427,0.85400951,-0.0029115804,-0.31397428
4.0795503,0.86250651,-0.0032151,-0.31154
4.0910678,0.87173295,-0.0034198644,-0.30884217
4.1039375,0.8818256,-0.0034952297,-0.3057701
4.1183179,0.8928888,-0.003440711,-0.30228523
4.1343864,0.90491508,-0.0032268041,-0.29835531
4.1523411,0.91771918,-0.0027679699,-0.29388609
4.1724037,0.93088442,-0.0020666164,-0.28878495
4.1948213,0.94394744,-0.0012914601,-0.28294409
4.2198705,0.95666053,-0.00070151213,-0.27631053
4.2478603,0.9691312,-0.00041296067,-0.26893253
4.2791358,0.98142305,-0.00026696043,-0.26082245
4.3140828,0.99304346,-4.7428721e-05,-0.25189296
4.3531322,1.0037776,0.0002905584,-0.24225537
4.3967656,1.0145833,0.00029926324,-0.23193965
4.4455211,1.025138,-0.00040387138,-0.22082755
4.5,1.0330569,-0.0007987058,-0.20915054
4.5460365,1.0364086,-0.00035093323,-0.19746202
4.5981935,1.0377014,-0.00019365694,-0.18565818
4.6572845,1.0413762,-0.00035612265,-0.17425674
4.7242315,1.0452521,-0.00035860442,-0.16226457
4.800079,1.0477229,-0.00024937476,-0.14927457
4.8860101,1.050749,-0.00016961154,-0.13605945
4.9833655,1.0534044,-0.00018085605,-0.12283409
