z,aij_0,aij_1,aij_2,aij_3,aij_4,aij_5
3.8383692,0.19091345,-0.010997024,-0.025269676,-0.12921561,0.0077385657,-0.061805636
3.8485841,0.19731692,-0.012743833,-0.025232291,-0.13294723,0.007624922,-0.064486748
3.85834,0.20344943,-0.014230487,-0.025352257,-0.13629387,0.0073306394,-0.067295417
3.8676576,0.20938072,-0.015319816,-0.025571034,-0.13948687,0.0069458867,-0.070046368
3.8765564,0.21504337,-0.016039376,-0.0256992,-0.14261836,0.0064250142,-0.072594613
3.8850554,0.22034026,-0.016479438,-0.025559316,-0.14569468,0.0056861575,-0.074824712
3.8931725,0.22519876,-0.016571019,-0.02523143,-0.14874263,0.004841686,-0.076651859
3.9009248,0.22963956,-0.016355206,-0.024842468,-0.15171896,0.003998747,-0.078099639
3.9083288,0.23369649,-0.015909598,-0.02437672,-0.15456959,0.0031309638,-0.079275471
3.9154001,0.23730611,-0.015315471,-0.023782935,-0.15722438,0.0022285222,-0.080220303
3.9221536,0.24044872,-0.014688728,-0.02331887,-0.15964582,0.0014429862,-0.080956247
3.9286037,0.24328509,-0.014163504,-0.023337907,-0.16189495,0.00090334725,-0.081559102
3.934764,0.24597876,-0.013747657,-0.023807493,-0.16403808,0.00059350136,-0.082106594
3.9406474,0.24852049,-0.013443486,-0.024364294,-0.16605652,0.00045076218,-0.08262083
3.9462665,0.25083344,-0.013270734,-0.024812491,-0.16790903,0.00040114086,-0.083063097
3.951633,0.25290701,-0.013139023,-0.025207901,-0.16962244,0.00026646545,-0.08338926
3.9567585,0.25474021,-0.01293792,-0.025616917,-0.1712587,-8.206015e-05,-0.083679098
3.9616536,0.25646086,-0.012609389,-0.025774774,-0.1727538,-0.00048832442,-0.083858559
3.9663287,0.257957,-0.012181971,-0.026096326,-0.17412984,-0.00081936715,-0.084003368
3.9707938,0.25924527,-0.011718566,-0.026763325,-0.17558299,-0.0013581668,-0.083952459
3.9750583,0.26055659,-0.011180792,-0.02716328,-0.17690931,-0.0020109215,-0.083433789
3.9791311,0.26175062,-0.010558104,-0.027888672,-0.17806558,-0.0023876972,-0.083642169
3.9830209,0.26291284,-0.010018767,-0.02862994,-0.17922718,-0.0028056298,-0.084130594
3.9867359,0.26399882,-0.0095209024,-0.028932351,-0.18030246,-0.003243452,-0.083921719
3.990284,0.26499592,-0.0089779986,-0.029246638,-0.18126144,-0.0035323132,-0.083765808
3.9936727,0.26592356,-0.0084936901,-0.029699298,-0.18213077,-0.0038219717,-0.083746986
3.996909,0.26674242,-0.0079821691,-0.030326237,-0.18298846,-0.0041337786,-0.083911825
4,0.26751594,-0.0074565736,-0.030662298,-0.18370005,-0.0044457004,-0.083966851
4.0021792,0.26812126,-0.0070060131,-0.03088998,-0.18420815,-0.0046881833,-0.083933901
4.0046141,0.26864375,-0.006536871,-0.031217361,-0.18468454,-0.0049333912,-0.084047924
4.0073349,0.26917738,-0.0059752897,-0.031470716,-0.18517146,-0.0052303743,-0.084101664
4.0103751,0.26970494,-0.0052855488,-0.031771298,-0.18567539,-0.0055901528,-0.084134577
4.0137722,0.27023999,-0.004441216,-0.032212855,-0.18621103,-0.006000846,-0.084138888
