z,k,Rterm
0.57456242,0.16042409,0.039139816
0.61019433,0.15916896,0.046050636
0.64796509,0.15786214,0.028874679
0.68800306,0.15709967,0.024814922
0.73044435,0.15681125,0.042675862
0.77543322,0.15603878,0.053577003
0.82312258,0.15428716,0.059944903
0.87367453,0.15101782,0.057382062
0.92726091,0.14766515,0.037105691
0.98406385,0.14551277,0.021411386
1.0442764,0.14520233,0.017430779
1.1081033,0.14673057,0.030264209
1.1757615,0.14599968,0.034206744
1.2474809,0.14319241,0.027981605
1.3235053,0.14102391,0.026612897
1.4040932,0.13940545,0.030500057
1.4895184,0.13888866,0.046678292
1.5800713,0.13890614,0.046799321
1.6760598,0.13991624,0.032337552
1.77781,0.1434625,0.032753319
1.8856679,0.14874772,0.029925875
2,0.15433998,0.031846719
2.0928216,0.1622703,0.041985885
2.1814723,0.17214871,0.040218906
2.2661395,0.18111778,0.056973318
2.3470022,0.18911695,0.090525682
2.4242314,0.19342118,0.0831019
2.4979903,0.19476383,0.050741426
2.5684348,0.1968013,0.073652783
2.635714,0.19774495,0.10925756
2.6999699,0.19590408,0.1568957
2.7613386,0.19108826,0.19701491
2.8199496,0.18266195,0.16926904
2.875927,0.1730174,0.13936364
2.929389,0.1639351,0.13410133
2.9804488,0.15564326,0.1467366
3.0292141,0.14734875,0.14302501
3.0757883,0.1392594,0.12394482
3.1202696,0.13209261,0.089586445
3.1627521,0.12629066,0.073948444
3.2033258,0.12140602,0.082177435
3.2420762,0.11664014,0.092554474
3.2790854,0.11161235,0.093579798
3.3144316,0.10631685,0.064439638
3.3481895,0.10167783,0.053708269
3.3804306,0.09775464,0.057381552
3.4112229,0.094167353,0.050830204
3.4406315,0.090870154,0.038513547
3.4687187,0.087959986,0.038827586
3.4955437,0.085250652,0.04369652
3.5211634,0.082589492,0.04599338
3.5456319,0.079939873,0.052133494
3.5690009,0.077196766,0.051111766
3.5913198,0.074438635,0.042993572
3.6126359,0.071836583,0.034125981
3.6329941,0.069487627,0.025116981
3.6524375,0.06744423,0.022419172
3.6710072,0.065630391,0.020534795
3.6887425,0.06402285,0.018899879
3.7056808,0.062631005,0.022697698
3.7218581,0.061374707,0.027410219
3.7373084,0.060184385,0.029888947
3.7520644,0.059048957,0.0326396
3.7661574,0.057947931,0.034903197
3.7796172,0.0568602,0.034574258
3.7924721,0.055794015,0.036094743
3.8047494,0.054729896,0.034717988
3.816475,0.053685804,0.030138432
3.8276737,0.052708879,0.030388983
3.8383692,0.051778878,0.030304312
3.8485841,0.050886509,0.02873441
3.85834,0.050040082,0.027374425
3.8676576,0.04924236,0.027654484
3.8765564,0.048482267,0.029630442
3.8850554,0.047740095,0.031791216
3.8931725,0.047001762,0.033225843
3.9009248,0.046262177,0.033633058
3.9083288,0.045524051,0.034522581
3.9154001,0.044786322,0.034688882
3.9221536,0.044051445,0.032182416
3.9286037,0.043333445,0.029198314
3.934764,0.042643799,0.028200326
3.9406474,0.041981966,0.028062591
3.9462665,0.041344011,0.027153876
3.951633,0.04072991,0.024745306
3.9567585,0.040144349,0.025376523
3.9616536,0.039581134,0.026834625
3.9663287,0.039032628,0.020443576
3.9707938,0.038518723,0.019298491
3.9750583,0.038038024,0.023620369
3.9791311,0.037571452,0.017948204
3.9830209,0.037130277,0.014470531
3.9867359,0.036718442,0.017166505
3.990284,0.036330343,0.019654021
3.9936727,0.035958759,0.016074449
3.996909,0.035609954,0.015695227
4,0.035300571,0.014926364
4.0021792,0.035033923,0.012779468
4.0046141,0.034775287,0.017161579
4.0073349,0.034485694,0.017683734
4.0103751,0.034160502,0.016772348
4.0137722,0.033796522,0.014839642
4.0175681,0.033392471,0.01263173
4.0218096,0.032948355,0.010705316
4.026549,0.032464452,0.0098117466
4.0318447,0.031937962,0.010045124
4.0377622,0.031361264,0.010252779
4.0443742,0.030726286,0.011395886
4.0517625,0.030016163,0.011466459
4.060018,0.029224963,0.011183567
4.0692427,0.028345333,0.011030308
4.0795503,0.027371163,0.009121468
4.0910678,0.026313771,0.0095255218
4.1039375,0.025132848,0.010817241
4.1183179,0.023770298,0.010361381
4.1343864,0.022204214,0.0090861024
4.1523411,0.020430406,0.0067125724
4.1724037,0.018479844,0.0045844498
4.1948213,0.016385463,0.003350269
4.2198705,0.014181765,0.0023624435
4.2478603,0.011867103,0.0016171606
4.2791358,0.0095000677,0.00095153265
4.3140828,0.0072616285,0.00056904242
4.3531322,0.0052498059,0.00054272318
4.3967656,0.0035788234,0.00099445867
4.4455211,0.002519782,0.0010833147
4.5,0.0020358474,0.00041914875
4.5460365,0.0017623936,9.4607555e-05
4.5981935,0.0014432786,0.00017862467
4.6572845,0.0011561666,0.00024035265
4.7242315,0.0009103978,0.00058197727
4.800079,0.00056347545,0.00059626997
4.8860101,0.00028990317,0.00014113571
4.9833655,0.0001905885,3.0808859e-05
